Country,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Singapore,5.970149254,13.16441937,13.10121375,28.19082636,2.896625,8.343241498,-1,2.668559795,135.1484536,33.54374957,5,12855.21657,116.9460926,19.93437839,3.104999959,128.9557525,19765.9454,0,0,17.83125,1.346925102,15.10109396,72.399375,49.04549097,54.96618605,0,22.1685625,0.812604107,1.203799225,1.829718519,0.602502381,5.021812468,2.507885947,2826456.25,4094.000438,0,0,157.7975,623.9101338,7.000544375,5.457931618,1.4375,48278904032,320.984582,5.226921887,8.9590105,87.5,2.507885947,26273.95833
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71077.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,32.30790897,13.30742688,14.1454325,13.4651228,4.322625,1.385667647,5.875,0.461144292,12.61187231,37.48124933,153772.5,1871.943959,59.8171245,2.217978014,0,14.08467476,8948.560989,0.256875,14.15875,50.91875,14.6904716,3.928515067,64.617875,28.87340331,30.49749089,0,17.1186875,0.691414576,43.6748525,82.330825,6.917195125,0.20138002,1.856573635,28908794.44,25.2431875,13.49,71.4014375,50277.67188,216.5809354,6.788510875,2.197759532,100.00625,63184513813,85.88092353,-0.413827455,14.45667944,55.7581875,2.794262332,41857.29167
Germany,41.82537489,14.83864125,14.2458275,25.55573314,1.7075,11.59066694,10,3.353305497,19.95063638,39.93749952,27690,13550.86117,898.1214613,6.327235186,9.470000028,19.53814302,43499.54183,0.804839339,5.51730246,11.59375,1.559575074,15.94974466,73.9696875,0,0,1.650000006,32.2335,1.222625,0.30080465,0.340922131,0.260285456,1.23434097,0.194871377,78048062.38,218.6933125,0,36.891875,1330.873125,1107.479697,3.171000625,3.591915961,23.49175,1.09188E+12,1153.365354,0.402185331,3.227023063,63.6864375,0.267978894,904664.5208
Myanmar,13.49265028,11.49773438,11.85787062,0.112658404,4.321625,0.16262573,-4.125,0.201401787,3.46550799,43.99999952,87170,0,0.241705044,0.031150819,0,5.943154712,1822.919211,0,0,79.14375,5.977893858,0.029021087,53.96475,22.48544114,23.64657814,0,18.8616875,0.139009258,3.059768916,5.249856234,0.9657408,0,1.414390117,33751362.13,49.7491875,0,64.5786875,21259.62446,14.13101436,0,1.361286875,6.075,0,2.010443236,-1.256465203,3.251438141,21.918125,2.346050718,5959.479167
Togo,47.8661059,12.00092125,12.11137188,3.811158235,6.2344375,0.175646104,-4.4375,0.260462677,32.11155532,32.08124995,1215,236.9913593,2.663694555,0.599334989,0,38.4698128,1153.121994,0,0,111.25,4.154059069,0.444433071,49.3754375,13.29439988,18.60989279,0,15.620375,0.055824179,3.133806825,5.071583391,1.300760955,0,2.275345782,3257769.063,56.8130625,0,42.00725,3342.295625,28.79143284,0,2.762974758,17.75,823972205.4,8.191619199,-5.201632257,4.991758704,23.0043,4.585126776,679.9375001
Armenia,19.30740871,13.73049063,14.81232875,6.305028215,2.7665,0.495058673,-3.125,0.314294468,9.141566886,46.4625001,760,347.0868124,9.911463143,0.549031776,0,18.40017174,8026.517418,0.66875,11.00625,24.09375,37.83213011,1.169628218,69.4611875,0,0,0,21.9303125,1.85063125,0.602032364,1.125274569,0.159831807,0,0.939474595,2738052.063,91.81825,8.4025,19.173875,844.2707625,208.7897557,0,3.039995194,17.13125,1080215874,26.11241841,-9.258604851,2.162264944,54.9830625,1.343361605,1554.895833
Afghanistan,47.27588427,11.79763687,11.65851812,3.449343711,7.4070625,0.098214757,-7.6875,0,13.20980931,16.44999993,3375,0,0.568961591,0,0,20.95998048,2517.736337,0,0,128.00625,2.879213282,0.217133401,43.7806875,0,0,0,15.2495,0.030488718,0.719497204,1.227709293,0.165340047,0,2.253155852,16470571.94,24.9173125,0,29.125625,3290.80875,0,0,0.653247336,34.75,0,5.267815548,-9.047091031,6.474045038,14.3093875,4.106701255,1589.041667
Samoa,21.22349823,15.92773437,17.21239063,9.170419,5.999625,0.523698732,0,0.058431043,10.3540901,31.87499976,427.5,724.5543974,30.44686017,0.077343737,0,17.04166055,3713.770977,0,0,42.775,3.994464493,0.856572036,60.36325,18.47896313,18.63412688,0,15.4821875,0.33598795,0.194074228,0.35453146,0.017981645,0,0.933499293,148679.4375,52.453,0,63.6223125,0,0,0,0,8.0625,123833042,36.88842644,-6.609698232,1.612334311,18.164,1.074894642,85.9375
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea and Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42171938.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,8.730218883,12.46982625,12.13780313,4.702919448,5.4095,0.234076353,-8.375,0.05253736,17.22325515,18.11250019,7852.5,391.0205605,16.05717231,0.015679976,0,26.50465631,3795.152602,0,0,96.8375,3.146569362,1.04112054,47.1813125,0,0,0,16.908,0.0095625,1.068041235,1.381948382,0.753751069,0,2.032738018,439117.5625,9.27775,0,38.703375,159357.3831,0,0,3.010964348,13.625,229368916.7,19.71131654,-9.826878671,3.364853381,14.2254,5.86186737,141.3958333
Madagascar,52.25274702,11.84519188,11.55895812,3.239121907,6.373375,0.112287475,1,0,16.04886234,49.85625029,32805,279.2110205,2.966394723,0.35184909,0,26.00830528,2654.041975,1.13625,20.82375,76.51875,8.346267255,0.251590221,49.7203125,17.6715424,17.55905512,0,15.6675,0.132206395,2.729888141,4.310526251,1.206190378,0,2.441313793,10560902.88,17.73625,53.04375,62.252125,24328.16313,0,0,3.013273843,34.9375,2895579711,4.445450419,-9.332556424,4.484361649,18.5487125,4.338717832,1164.395833
Seychelles,7.880434784,13.49656188,14.89752688,19.91600212,3.796875,2.858566203,0,0.581818182,49.83067068,0,102.5,4268.061552,105.4420157,0.614389033,0,54.89840987,10161.36043,0,0,36.05625,9.438933136,6.982245729,67.7349375,0,0,0,0,0.623984707,0.605019227,1.026075661,0.158598628,0,1.394800289,62914,138.05275,0,71.5693125,0,0,0,8.462421021,22.6875,315095465.2,117.8198301,-4.432101222,1.983038842,39.9576625,2.174343559,224.8125
Bermuda,13.75,15.15107,16.40110875,22.36665108,0,6.431538105,0,0,3.292662106,0,2.5,38047.85286,0,0,0,4.51740932,92834.42359,0,0,0,5.282717559,17.93621908,0,0,0,0,0,0,0,0,0,0,0.58748112,55135.4375,1039.641438,0,70.2809375,0,0,0,0,7.2875,2240796284,0,-1.224747213,0,87.5,0.590128649,368.9583333
Mauritius,43.56527094,13.35565,13.97239938,13.87937579,3.341625,1.25325678,7.25,0.154908926,34.91183024,27.34999967,97.5,1950.233356,33.5556936,1.318769212,0,38.57051467,10674.30718,0,0,40.19375,4.909289276,4.093443173,65.65175,21.07577226,23.63474075,0,19.110375,0.522503597,2.344481438,3.6084275,1.155842969,0,1.17766053,959354.8125,469.3543125,0,67.1668125,1962.295263,0,9.274512813,0,52.70625,2257122889,80.66162013,-3.658684431,11.31069475,36.1792,1.488284438,1401.8125
Bulgaria,42.99319045,14.5700475,14.32936062,21.56390714,1.8834375,6.281045812,-1.1875,1.886531125,27.92090417,47.53750086,8437.5,1024.003451,49.86370285,1.493756491,0,31.32699358,13649.33447,0,0,32.08125,11.41026701,6.445965762,70.3403125,0,0,2.00000003,30.1134375,2.342805379,2.295849438,3.563569562,1.054391794,0.708366632,0.034342375,8191899.75,73.9684375,0,67.721625,1698.04125,728.745177,6.342450375,7.622736721,62.73875,8405070122,83.72167507,-3.406088547,9.210223437,53.2795625,1.185942883,52586.1875
Liechtenstein,39.453125,0,0,18.50487982,0,0,0,0,0,0,17.5,38347.98147,0,0,0,0,101266.2674,0,0,1.71125,0.952087015,15.03266738,0,0,0,0,0,0,0,0,0,0,1.346350049,25680,160.0846875,0,19.3035,0,0,0,0,1.7,1191763697,0,0,0,15.0557875,0.777221436,0
Poland,49.16453827,14.5145575,14.4847525,19.28473877,2.1805,8.980189395,-0.75,2.335213836,11.77465126,43.38125086,22647.5,1782.528705,127.2663705,1.35809929,0.89562498,12.82067754,9216.462714,1.078125,8.275,28.775,4.630155277,9.22741904,70.6751875,18.67835438,18.74997375,2.681250066,26.3573125,1.61175,1.309987112,1.93161575,0.729281756,0.346861405,0.597358401,34542173.69,106.8398125,0.81,68.4849375,1182.34125,337.3492401,10.13146144,3.269038573,6.94375,68250000000,177.7132727,-1.046026277,11.26814531,50.30925,0.970412012,315097.75
Senegal,37.61848803,11.87977625,12.87934375,6.542947992,6.5103125,0.361191247,-0.25,0.178880692,20.69517017,38.54999876,22245,464.4865116,6.491074117,1.56801547,0,30.37676942,1551.384442,0,0,92.31875,2.886219282,1.625076855,49.3184375,11.7551235,16.56642024,0,15.553375,0.048939229,3.215937853,5.10346806,1.382565111,0,2.449406853,6524108.5,32.7444375,0,51.2888125,4332.000625,19.28288778,0,4.923067544,127.1875,3204282211,13.74177191,-8.632036325,5.144186498,31.12445,3.509213719,2647.791667
Tuvalu,47.91666667,0,0,0.971905453,0,0,0,0,0,0,2.5,538.7940183,125.0193391,0.796809162,0,0,3152.913142,0,0,25.40625,2.479206755,2.530204948,0,0,0,0,0,0.0795,0.360772625,0.61570622,0.092613604,0,0.834986349,8040.25,309.0456875,0,0,0,0,0,0,15.3625,5473951.75,125.1494419,0,2.485520661,29.3175625,2.427698046,0
South Africa,65.16191219,13.82956188,15.80200875,15.47074264,4.446,7.737054988,5.6875,1.790753299,23.08441614,34.18124986,17332.5,2752.046772,47.27055985,2.212778782,0,23.08102448,7469.954062,0.32,11.2325,32.88125,8.315234721,1.99612726,54.347125,44.80077965,50.6368227,0,17.8486875,0.25751875,13.28391552,22.7144394,4.371672034,0.34755522,1.806503775,31724583.44,25.909,10.725,24.91,1145.488125,419.0591245,0,6.572200688,15.9375,93535245651,118.7962928,1.895794275,8.158817053,45.6815125,2.322557444,260939.9375
Brunei,2.19402277,13.34621813,12.90639125,19.34205497,4.3425625,20.50026088,0,4.81437278,49.01856683,32.43750072,992.5,13191.64005,191.4127249,1.133801255,0,17.78988947,101054.6957,0,0,25.05625,9.956257459,8.375952413,70.1148125,0,0,0,18.707125,0.528894207,0.171573121,0.222883903,0.121149715,0,2.794676106,212192.5,36.5011875,0,68.8764375,30453.26687,978.0147625,0,0,10.6,3560196766,225.6324235,31.22867736,3.112322331,55.7205375,3.792518313,4765.75
South Sudan,0,0,0,0,6.4626875,0,0,0,8.407832423,0,0,0,0,0,0,0,1793.826555,0,0,69.09375,0,0,40.7958125,0,0,0,0,0,0,0,0,0,2.107248823,4892554.5,0,0,0,0,0,0,0,0,0,0,0,0,10.2205125,3.089222177,0
Equatorial Guinea,9.51426025,12.43392188,12.46701687,4.113948805,5.6204375,1.686085113,-4.0625,0.242245598,45.93232091,24.63750005,4357.5,1751.719129,61.26902711,0,0,46.08287273,6973.372909,0,0,52.25,8.680396595,0.288517809,43.2918125,22.07707528,24.28284182,0,17.02575,0.180750003,5.306222678,8.697396039,2.06672877,0,1.810763576,376105.5,13.2339375,0,20.33375,57740.9425,0,0,0,31.1875,1079363603,110.2151199,-0.20616734,7.557997226,28.4139375,2.641684626,1009.708333
Luxembourg,12.5,14.77469375,14.21541813,29.72972395,1.792,28.86920893,0,8.297262745,94.55249926,32.35625029,217.5,27118.87108,1517.683722,2.494287508,10.55875,83.92848668,74743.47051,0.873951427,5.943013548,10.075,3.955711697,16.07577126,73.216875,0,0,0.375000003,31.28375,1.624375,0.34871343,0.20869077,0.254950203,0,0.880269379,380999.875,146.447625,0,69.4543125,5762.88375,1000.045428,0,6.132108366,14.17625,11355027214,1781.287058,15.26694147,2.156072437,69.443525,1.249016487,10631.95833
Sweden,6.861535556,14.37199813,13.95057063,26.6182407,1.93875,7.108669689,10,4.297239175,28.79349151,48.71250057,68472.5,19343.69334,942.0935299,6.635390711,12.36250007,27.58861457,21466.90899,0.895039195,5.545400513,8.6875,3.819731794,20.01607791,76.5833125,0,0,0.606250011,32.496875,2.04625,1.027271075,1.211302056,0.839216225,1.713005975,0.39058849,8315773.563,18.445125,0,71.472125,14217.06812,2847.231958,12.29495462,6.836507742,9.26875,1.66377E+11,1139.66057,2.642868754,9.806050625,71.6841625,0.660379362,58769.5625
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.8125,1664.062437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,55.12018619,14.0997125,14.561035,16.88172731,4.7065625,0.57316145,2.25,0.410581404,20.82836777,31.41249967,830,1717.303221,30.32041885,1.521585199,0,30.19425043,9059.806941,0.2675,12.175625,63.79375,4.419927502,1.538986678,60.4433125,29.38487096,33.48242773,0.187500007,16.3933125,0.573123294,10.17693507,14.19453049,1.739665568,0,1.390661777,4557280.25,216.1909375,5.665625,67.360625,3850.872188,111.893353,0,2.476913066,127.11875,8577545778,58.2954701,-8.09989801,6.792026282,43.0930125,2.302868344,2975.041667
West Bank and Gaza Strip,50.08305648,14.45620187,15.3928725,5.09092532,6.605625,0.116036403,0,0,4.780487759,8.649999917,22.5,355.1229375,0,0,0,21.94851277,3943.43916,0,0,22.6875,1.843094512,3.310566654,61.772,17.52482995,18.5776412,0,14.672375,0,0,0,0,0,1.332745206,2048996.125,335.752625,0,31.998,365.8032813,0,0,0,15.5625,1121475960,0,-17.16802501,0,55.3984625,1.48898303,422.8124999
Chad,31.217676,11.698495,11.57719938,1.962588182,6.7801875,0.027727262,-4.25,0,19.46454552,35.70625055,30792.5,189.0302408,1.848656151,0,0,26.59777679,2444.119664,0,0,77.1125,6.493155796,0.173539199,43.723,6.924907249,10.16104487,0,16.1148125,0.016923956,4.467456221,7.480474948,1.581378758,0,2.314452706,5746956.625,4.4185625,0,29.65075,5954.155625,0,0,0,43.0625,1195067704,6.414090905,-6.296378428,6.656842946,15.141475,4.268304248,175.7708333
Malaysia,15.83777203,13.11491938,13.51727687,18.05389659,4.0800625,2.951232936,4.6875,1.062032667,58.84695543,28.40625,53977.5,2334.793245,37.76726275,19.9372039,0,54.41680066,12188.8905,1.046875,17.111875,27.5,4.310762404,11.00563057,67.142125,43.8957932,51.79964886,0,17.5555,0.361560838,1.988252099,3.36448896,0.435258865,0.478649546,2.160928205,16136742.38,48.577,5.105,57.4693125,27283.66688,169.2732559,0,4.915944531,22.75,49029249749,66.51434953,8.052715871,3.177829028,42.1843125,3.905484363,66280.5
